Day,Hour,People,Infected,Dead
11,21,24,24,76
11,22,24,24,76
11,23,24,24,76
12,0,24,24,76
12,1,24,24,76
12,2,24,24,76
12,3,24,24,76
12,4,24,24,76
12,5,24,24,76
12,6,24,24,76
12,7,24,24,76
12,8,23,23,77
12,9,23,23,77
12,10,23,23,77
12,11,23,23,77
12,12,23,23,77
12,13,23,23,77
12,14,23,23,77
12,15,23,23,77
12,16,23,23,77
12,17,23,23,77
12,18,23,23,77
12,19,23,23,77
12,20,23,23,77
12,21,23,23,77
12,22,23,23,77
12,23,23,23,77
13,0,23,23,77
13,1,23,23,77
13,2,23,23,77
13,3,23,23,77
13,4,23,23,77
13,5,23,23,77
13,6,23,23,77
13,7,23,23,77
13,8,23,23,77
13,9,23,23,77
13,10,23,23,77
13,11,23,23,77
13,12,23,23,77
13,13,23,23,77
13,14,23,23,77
13,15,23,23,77
13,16,23,23,77
13,17,22,22,78
13,18,22,22,78
13,19,22,22,78
13,20,22,22,78
13,21,22,22,78
13,22,22,22,78
13,23,22,22,78
14,0,22,22,78
14,1,22,22,78
14,2,22,22,78
